conjunto,metrica,iteracao,valor
learn,Logloss,294,0.004826308188441107
learn,Logloss,295,0.004821010872024239
learn,Logloss,296,0.004818148528560289
learn,Logloss,297,0.004809613079793675
learn,Logloss,298,0.004801984913403775
learn,Logloss,299,0.00479757665434821
learn,Logloss,300,0.004787533725479231
learn,Logloss,301,0.004785253838298005
learn,Logloss,302,0.004782574834020288
learn,Logloss,303,0.004776997189820209
learn,Logloss,304,0.004775226607154989
learn,Logloss,305,0.004771701728290517
learn,Logloss,306,0.004763291043599614
learn,Logloss,307,0.004753806093806525
learn,Logloss,308,0.004751650020736365
learn,Logloss,309,0.004746740738574233
learn,Logloss,310,0.004728651966388329
learn,Logloss,311,0.004724872159642035
learn,Logloss,312,0.004721225025151923
learn,Logloss,313,0.0047178769454056515
learn,Logloss,314,0.00471441223667174
learn,Logloss,315,0.004710673187521045
learn,Logloss,316,0.00470922689384883
learn,Logloss,317,0.004706047750303562
learn,Logloss,318,0.004703596954979952
learn,Logloss,319,0.004700329188708991
learn,Logloss,320,0.004696781206702909
learn,Logloss,321,0.004693465682081678
learn,Logloss,322,0.004687255263085343
learn,Logloss,323,0.004677933234305298
learn,Logloss,324,0.004668325032419689
learn,Logloss,325,0.004665290295804613
learn,Logloss,326,0.004659502490038769
learn,Logloss,327,0.004656665250228151
learn,Logloss,328,0.004654420898090461
learn,Logloss,329,0.004648029537320698
learn,Logloss,330,0.004640487438294259
learn,Logloss,331,0.004635479929866195
learn,Logloss,332,0.0046335839747976065
learn,Logloss,333,0.004629473566882872
learn,Logloss,334,0.004623809941715117
learn,Logloss,335,0.004620906714207861
learn,Logloss,336,0.0046167240210926745
learn,Logloss,337,0.004614525344857174
learn,Logloss,338,0.004612477613792752
learn,Logloss,339,0.004607441163586873
learn,Logloss,340,0.004599368114234978
learn,Logloss,341,0.004597318400748759
learn,Logloss,342,0.004592789885419704
learn,Logloss,343,0.004590435795217568
learn,Logloss,344,0.0045882907917795136
learn,Logloss,345,0.0045853891177614955
learn,Logloss,346,0.004580459626833715
learn,Logloss,347,0.004578781311320079
learn,Logloss,348,0.004575608511348301
learn,Logloss,349,0.004573922281593604
learn,Logloss,350,0.004571334395099581
learn,Logloss,351,0.004564776812365991
learn,Logloss,352,0.00455792748973227
learn,Logloss,353,0.004554714174680538
learn,Logloss,354,0.0045502167657453995
learn,Logloss,355,0.004548053377402774
learn,Logloss,356,0.004544092280782434
learn,Logloss,357,0.004542266174956856
learn,Logloss,358,0.004540692001326741
learn,Logloss,359,0.004533201795214554
learn,Logloss,360,0.0045317202346365
learn,Logloss,361,0.004527945290187083
learn,Logloss,362,0.004524670286536263
learn,Logloss,363,0.004516651920181899
learn,Logloss,364,0.004513766855873754
learn,Logloss,365,0.004511669123698922
learn,Logloss,366,0.004510466586179101
learn,Logloss,367,0.00450493506851943
learn,Logloss,368,0.004501364190608972
learn,Logloss,369,0.0044989610045872205
learn,Logloss,370,0.004496575175958281
learn,Logloss,371,0.004495160832708503
learn,Logloss,372,0.004493081926627514
learn,Logloss,373,0.004490474991615508
learn,Logloss,374,0.004486729903535136
learn,Logloss,375,0.004484544554367022
learn,Logloss,376,0.004476551278718552
learn,Logloss,377,0.004474791374188752
learn,Logloss,378,0.00447318870176635
learn,Logloss,379,0.004470573645114353
learn,Logloss,380,0.004468262455059398
learn,Logloss,381,0.0044642138620558155
learn,Logloss,382,0.004460048097751139
learn,Logloss,383,0.004457967047519146
learn,Logloss,384,0.00445412425689332
learn,Logloss,385,0.004450578370720555
learn,Logloss,386,0.004448986741072749
learn,Logloss,387,0.0044451966671693426
learn,Logloss,388,0.004443524613426927
learn,Logloss,389,0.004441087076933849
learn,Logloss,390,0.004437784534725677
learn,Logloss,391,0.004436511438585789
learn,Logloss,392,0.004435163021319846
